2019-05-19 01:21:22.473  INFO 20488 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at: http://localhost:8888
2019-05-19 01:21:23.750  WARN 20488 --- [main] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/application/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2019-05-19 01:21:23.752  INFO 20488 --- [main] org.epay.server.EpayServerApplication    : No active profile set, falling back to default profiles: default
2019-05-19 01:21:23.788  INFO 20488 --- [main] ationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5fe1ce85: startup date [Sun May 19 01:21:23 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@35ef1869
2019-05-19 01:21:26.812  INFO 20488 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=3b8a4e63-723a-359b-8bc7-3787acfb4b12
2019-05-19 01:21:26.876  INFO 20488 --- [main] f.a.AutowiredAnnotationBeanPostProcessor : JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-05-19 01:21:27.142  INFO 20488 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.netflix.metrics.MetricsInterceptorConfiguration$MetricsRestTemplateConfiguration' of type [org.springframework.cloud.netflix.metrics.MetricsInterceptorConfiguration$MetricsRestTemplateConfiguration$$EnhancerBySpringCGLIB$$bffda5ef] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-05-19 01:21:27.165  INFO 20488 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a9eb02ab] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-05-19 01:21:27.808  INFO 20488 --- [main] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 2000 (http)
2019-05-19 01:21:27.824  INFO 20488 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-05-19 01:21:27.825  INFO 20488 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/8.5.16
2019-05-19 01:21:28.092  INFO 20488 --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-05-19 01:21:28.093  INFO 20488 --- [localhost-startStop-1] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 4306 ms
2019-05-19 01:21:29.039  INFO 20488 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'metricsFilter' to: [/*]
2019-05-19 01:21:29.041  INFO 20488 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'characterEncodingFilter' to: [/*]
